id,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Percent!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,county_name,state
0500000US05031,"Craighead County, Arkansas",26.2,6.7,94.3,72.9,Craighead County, Arkansas
0500000US05033,"Crawford County, Arkansas",16.0,9.1,92.8,67.5,Crawford County, Arkansas
0500000US05035,"Crittenden County, Arkansas",17.4,6.6,97.1,79.1,Crittenden County, Arkansas
0500000US05037,"Cross County, Arkansas",14.4,7.6,99.6,78.3,Cross County, Arkansas
0500000US05039,"Dallas County, Arkansas",11.9,8.0,98.3,76.5,Dallas County, Arkansas
0500000US05041,"Desha County, Arkansas",14.1,5.7,93.3,78.6,Desha County, Arkansas
0500000US05043,"Drew County, Arkansas",22.8,7.9,97.2,68.6,Drew County, Arkansas
0500000US05045,"Faulkner County, Arkansas",30.6,7.2,94.4,64.3,Faulkner County, Arkansas
0500000US05047,"Franklin County, Arkansas",12.1,10.2,98.0,27.1,Franklin County, Arkansas
0500000US05049,"Fulton County, Arkansas",12.2,12.0,98.7,56.0,Fulton County, Arkansas
0500000US05051,"Garland County, Arkansas",21.6,10.5,93.7,60.2,Garland County, Arkansas
0500000US05053,"Grant County, Arkansas",18.7,9.7,97.5,75.1,Grant County, Arkansas
0500000US05055,"Greene County, Arkansas",16.2,8.5,98.4,85.6,Greene County, Arkansas
0500000US05057,"Hempstead County, Arkansas",15.1,7.2,89.0,79.3,Hempstead County, Arkansas
0500000US05059,"Hot Spring County, Arkansas",13.3,8.9,97.4,68.6,Hot Spring County, Arkansas
0500000US05061,"Howard County, Arkansas",13.6,7.6,87.0,75.3,Howard County, Arkansas
0500000US05063,"Independence County, Arkansas",17.5,8.8,95.3,69.6,Independence County, Arkansas
0500000US05065,"Izard County, Arkansas",13.1,12.5,97.0,72.1,Izard County, Arkansas
0500000US05067,"Jackson County, Arkansas",10.1,7.5,97.6,0.0,Jackson County, Arkansas
0500000US05069,"Jefferson County, Arkansas",18.0,7.8,96.0,66.5,Jefferson County, Arkansas
0500000US05071,"Johnson County, Arkansas",15.4,8.4,86.0,68.4,Johnson County, Arkansas
0500000US05073,"Lafayette County, Arkansas",15.8,7.8,98.1,65.7,Lafayette County, Arkansas
0500000US05075,"Lawrence County, Arkansas",15.4,8.4,98.6,69.3,Lawrence County, Arkansas
0500000US05077,"Lee County, Arkansas",10.7,4.5,97.1,90.5,Lee County, Arkansas
0500000US05079,"Lincoln County, Arkansas",9.7,6.6,95.5,82.9,Lincoln County, Arkansas
0500000US05081,"Little River County, Arkansas",12.5,8.7,98.3,36.4,Little River County, Arkansas
0500000US05083,"Logan County, Arkansas",13.3,8.7,96.5,43.3,Logan County, Arkansas
0500000US05085,"Lonoke County, Arkansas",20.6,12.6,95.8,49.1,Lonoke County, Arkansas
0500000US05087,"Madison County, Arkansas",14.2,6.9,95.4,43.2,Madison County, Arkansas
0500000US05089,"Marion County, Arkansas",17.1,13.5,98.1,53.7,Marion County, Arkansas
0500000US05091,"Miller County, Arkansas",16.8,8.7,97.5,58.1,Miller County, Arkansas
0500000US05093,"Mississippi County, Arkansas",13.8,7.4,96.0,66.6,Mississippi County, Arkansas
0500000US05095,"Monroe County, Arkansas",12.7,7.1,98.6,8.7,Monroe County, Arkansas
0500000US05097,"Montgomery County, Arkansas",13.5,10.3,96.1,79.2,Montgomery County, Arkansas
0500000US05099,"Nevada County, Arkansas",14.6,6.9,99.8,33.3,Nevada County, Arkansas
0500000US05101,"Newton County, Arkansas",20.5,9.1,99.4,60.0,Newton County, Arkansas
0500000US05103,"Ouachita County, Arkansas",14.5,8.7,97.8,60.1,Ouachita County, Arkansas
0500000US05105,"Perry County, Arkansas",12.7,11.4,97.5,53.0,Perry County, Arkansas
0500000US05107,"Phillips County, Arkansas",13.8,7.1,98.8,0.0,Phillips County, Arkansas
0500000US05109,"Pike County, Arkansas",17.3,9.3,94.7,65.0,Pike County, Arkansas
0500000US05111,"Poinsett County, Arkansas",11.1,5.6,97.7,70.5,Poinsett County, Arkansas
0500000US05113,"Polk County, Arkansas",14.1,12.2,93.4,75.8,Polk County, Arkansas
0500000US05115,"Pope County, Arkansas",22.8,8.7,92.1,75.0,Pope County, Arkansas
0500000US05117,"Prairie County, Arkansas",15.4,8.4,98.8,61.1,Prairie County, Arkansas
0500000US05119,"Pulaski County, Arkansas",34.3,9.1,92.0,59.9,Pulaski County, Arkansas
0500000US05121,"Randolph County, Arkansas",13.8,8.2,97.5,53.0,Randolph County, Arkansas
0500000US05123,"St. Francis County, Arkansas",10.4,6.7,96.0,82.0,St. Francis County, Arkansas
0500000US05125,"Saline County, Arkansas",26.7,9.8,94.9,49.1,Saline County, Arkansas
0500000US05127,"Scott County, Arkansas",9.3,9.0,96.6,8.3,Scott County, Arkansas
0500000US05129,"Searcy County, Arkansas",11.9,10.8,99.2,63.3,Searcy County, Arkansas
0500000US05131,"Sebastian County, Arkansas",21.3,8.8,84.9,57.0,Sebastian County, Arkansas
0500000US05133,"Sevier County, Arkansas",12.8,7.4,67.4,80.2,Sevier County, Arkansas
0500000US05135,"Sharp County, Arkansas",10.2,13.6,98.9,56.6,Sharp County, Arkansas
0500000US05137,"Stone County, Arkansas",13.9,10.4,98.6,18.3,Stone County, Arkansas
0500000US05139,"Union County, Arkansas",21.1,7.5,95.7,68.6,Union County, Arkansas
0500000US05141,"Van Buren County, Arkansas",14.5,9.2,98.1,75.8,Van Buren County, Arkansas
0500000US05143,"Washington County, Arkansas",33.3,6.8,82.0,74.2,Washington County, Arkansas
0500000US05145,"White County, Arkansas",20.9,7.8,93.8,69.7,White County, Arkansas
0500000US05147,"Woodruff County, Arkansas",14.0,6.4,99.7,93.1,Woodruff County, Arkansas
0500000US05149,"Yell County, Arkansas",12.8,7.1,81.0,74.8,Yell County, Arkansas
0500000US06001,"Alameda County, California",47.4,3.7,54.4,45.9,Alameda County, California
0500000US06003,"Alpine County, California",34.5,9.4,90.3,43.4,Alpine County, California
0500000US06005,"Amador County, California",19.3,11.7,89.4,40.1,Amador County, California
0500000US06007,"Butte County, California",27.2,7.9,84.7,45.3,Butte County, California
0500000US06009,"Calaveras County, California",18.3,11.9,92.8,40.7,Calaveras County, California
0500000US06011,"Colusa County, California",15.0,5.3,48.3,59.2,Colusa County, California
0500000US06013,"Contra Costa County, California",42.4,5.3,64.2,45.3,Contra Costa County, California
0500000US06015,"Del Norte County, California",14.8,9.5,87.9,54.4,Del Norte County, California
0500000US06017,"El Dorado County, California",34.3,9.0,87.8,40.2,El Dorado County, California
0500000US06019,"Fresno County, California",21.2,5.1,55.4,59.4,Fresno County, California
0500000US06021,"Glenn County, California",14.2,6.9,62.0,65.6,Glenn County, California
0500000US06023,"Humboldt County, California",30.4,7.4,88.3,52.0,Humboldt County, California
0500000US06025,"Imperial County, California",15.2,4.3,23.5,48.7,Imperial County, California
0500000US06027,"Inyo County, California",27.2,10.6,82.8,46.0,Inyo County, California
0500000US06029,"Kern County, California",16.4,5.7,55.8,64.5,Kern County, California
0500000US06031,"Kings County, California",14.7,9.2,58.5,62.1,Kings County, California
0500000US06033,"Lake County, California",15.5,10.6,83.8,53.3,Lake County, California
0500000US06035,"Lassen County, California",12.9,7.6,81.6,67.7,Lassen County, California
0500000US06037,"Los Angeles County, California",32.5,3.3,43.4,47.7,Los Angeles County, California
0500000US06039,"Madera County, California",14.6,5.6,54.7,69.2,Madera County, California
0500000US06041,"Marin County, California",59.5,5.1,78.1,51.7,Marin County, California
0500000US06043,"Mariposa County, California",24.6,10.2,90.4,53.0,Mariposa County, California
0500000US06045,"Mendocino County, California",24.4,8.7,78.6,64.8,Mendocino County, California
0500000US06047,"Merced County, California",13.8,4.8,46.7,60.7,Merced County, California
