id,Geographic Area Name,Percent!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!Asian,Percent!!HISPANIC OR LATINO AND RACE!!Total population,gen_z,gen_y,gen_x,baby_boomer,silent_gen,county_name,state
0500000US20063,"Gove County, Kansas",2644,95.8,0.5,0.5,2644,8.4,11.9,17.7,29.299999999999997,13.899999999999999,Gove County, Kansas
0500000US20065,"Graham County, Kansas",2519,90.3,4.2,1.7,2519,7.5,10.0,21.1,29.6,14.6,Graham County, Kansas
0500000US20067,"Grant County, Kansas",7467,88.3,0.0,0.4,7467,14.2,10.9,23.1,20.8,4.1,Grant County, Kansas
0500000US20069,"Gray County, Kansas",6039,96.8,0.9,0.1,6039,13.100000000000001,11.5,23.6,20.9,6.7,Gray County, Kansas
0500000US20071,"Greeley County, Kansas",1185,87.9,0.0,0.0,1185,10.1,10.5,20.299999999999997,25.9,11.600000000000001,Greeley County, Kansas
0500000US20073,"Greenwood County, Kansas",6081,95.1,0.2,0.2,6081,9.8,8.9,22.3,30.299999999999997,11.1,Greenwood County, Kansas
0500000US20075,"Hamilton County, Kansas",2591,90.9,5.3,0.0,2591,11.8,11.9,25.0,21.700000000000003,5.6,Hamilton County, Kansas
0500000US20077,"Harper County, Kansas",5594,95.7,0.2,0.4,5594,10.1,11.2,20.9,25.9,11.2,Harper County, Kansas
0500000US20079,"Harvey County, Kansas",34503,93.1,1.7,0.6,34503,14.4,11.6,22.0,22.6,9.7,Harvey County, Kansas
0500000US20081,"Haskell County, Kansas",4018,86.1,0.0,0.1,4018,14.8,9.8,24.4,22.6,4.8999999999999995,Haskell County, Kansas
0500000US20083,"Hodgeman County, Kansas",1876,95.6,0.1,1.9,1876,13.2,8.5,21.3,29.5,10.6,Hodgeman County, Kansas
0500000US20085,"Jackson County, Kansas",13266,86.3,0.2,0.5,13266,12.2,10.2,24.5,25.0,7.6000000000000005,Jackson County, Kansas
0500000US20087,"Jefferson County, Kansas",18890,95.8,0.7,0.0,18890,11.3,10.6,25.2,26.5,7.8,Jefferson County, Kansas
0500000US20089,"Jewell County, Kansas",2885,96.4,0.3,0.2,2885,7.7,10.3,18.9,32.099999999999994,14.9,Jewell County, Kansas
0500000US20091,"Johnson County, Kansas",591506,86.0,4.7,5.1,591506,12.2,13.7,27.200000000000003,20.8,5.6,Johnson County, Kansas
0500000US20093,"Kearny County, Kansas",3907,94.5,2.6,0.4,3907,17.0,9.9,22.6,20.1,6.5,Kearny County, Kansas
0500000US20095,"Kingman County, Kansas",7340,96.6,0.5,0.0,7340,11.4,9.6,23.4,26.900000000000002,11.0,Kingman County, Kansas
0500000US20097,"Kiowa County, Kansas",2505,93.9,0.8,0.8,2505,16.6,9.2,19.9,25.1,10.3,Kiowa County, Kansas
0500000US20099,"Labette County, Kansas",20119,88.8,4.8,0.2,20119,11.600000000000001,11.9,23.6,25.3,7.9,Labette County, Kansas
0500000US20101,"Lane County, Kansas",1564,96.8,0.0,1.2,1564,12.399999999999999,10.5,26.5,21.6,9.7,Lane County, Kansas
0500000US20103,"Leavenworth County, Kansas",80745,82.5,8.8,1.4,80745,12.6,13.2,27.5,21.3,5.6,Leavenworth County, Kansas
0500000US20105,"Lincoln County, Kansas",3044,98.1,0.2,0.0,3044,11.5,7.4,22.5,29.0,11.2,Lincoln County, Kansas
0500000US20107,"Linn County, Kansas",9671,95.7,0.8,0.5,9671,10.8,9.0,24.8,27.9,9.1,Linn County, Kansas
