id,Geographic Area Name,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars),Percent!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,county_name,state
0500000US48365,"Panola County, Texas",30.0,15.9,21.6,15.0,17.5,31056.0,17.1,Panola County, Texas
0500000US48367,"Parker County, Texas",37.7,14.3,22.1,12.6,13.3,38611.0,14.5,Parker County, Texas
0500000US48369,"Parmer County, Texas",28.9,15.0,16.4,18.2,21.5,33255.0,19.9,Parmer County, Texas
0500000US48371,"Pecos County, Texas",25.0,21.1,18.9,17.2,17.7,31320.0,18.1,Pecos County, Texas
0500000US48373,"Polk County, Texas",24.0,20.7,22.8,17.1,15.5,29258.0,18.2,Polk County, Texas
0500000US48375,"Potter County, Texas",23.5,22.0,20.8,13.1,20.6,28022.0,22.1,Potter County, Texas
0500000US48377,"Presidio County, Texas",35.9,22.0,11.3,27.6,3.3,17309.0,26.1,Presidio County, Texas
0500000US48379,"Rains County, Texas",26.3,16.1,22.2,15.4,20.0,31135.0,19.4,Rains County, Texas
0500000US48381,"Randall County, Texas",38.1,15.9,24.1,9.8,12.1,37178.0,9.5,Randall County, Texas
0500000US48383,"Reagan County, Texas",27.1,7.8,16.8,29.3,18.9,41125.0,22.1,Reagan County, Texas
0500000US48385,"Real County, Texas",29.5,23.6,26.0,15.9,5.0,21792.0,26.6,Real County, Texas
0500000US48387,"Red River County, Texas",26.5,20.6,19.0,16.5,17.4,26813.0,14.4,Red River County, Texas
0500000US48389,"Reeves County, Texas",24.2,17.2,17.6,14.9,26.1,30556.0,20.4,Reeves County, Texas
0500000US48391,"Refugio County, Texas",24.3,26.4,20.4,13.4,15.5,25564.0,15.9,Refugio County, Texas
0500000US48393,"Roberts County, Texas",40.1,17.6,19.3,9.5,13.4,28833.0,10.6,Roberts County, Texas
0500000US48395,"Robertson County, Texas",27.0,19.2,20.8,15.7,17.3,27308.0,13.3,Robertson County, Texas
0500000US48397,"Rockwall County, Texas",48.5,12.8,23.7,7.2,7.9,51501.0,11.5,Rockwall County, Texas
